소재지,년도,주거환경만족도
종로구,2020,6.1
중구,2020,6.43
용산구,2020,6.41
성동구,2020,6.3
광진구,2020,6.03
동대문구,2020,6.1
중랑구,2020,6.52
성북구,2020,6.45
강북구,2020,6.22
도봉구,2020,6.31
노원구,2020,6.41
은평구,2020,6.37
서대문구,2020,6.21
마포구,2020,6.44
양천구,2020,6.29
강서구,2020,6.37
구로구,2020,6.59
금천구,2020,6.32
영등포구,2020,6.38
동작구,2020,6.27
관악구,2020,6.16
서초구,2020,6.59
강남구,2020,6.44
송파구,2020,6.48
강동구,2020,6.57
종로구,2021,6.48
중구,2021,6.53
용산구,2021,6.28
성동구,2021,6.53
광진구,2021,6.29
동대문구,2021,6.37
중랑구,2021,6.24
성북구,2021,6.48
강북구,2021,6.47
도봉구,2021,6.31
노원구,2021,6.49
은평구,2021,6.4
서대문구,2021,6.5
마포구,2021,6.59
양천구,2021,6.27
강서구,2021,6.32
구로구,2021,6.42
금천구,2021,6.45
영등포구,2021,6.43
동작구,2021,6.34
관악구,2021,6.32
서초구,2021,6.55
강남구,2021,6.54
송파구,2021,6.51
강동구,2021,6.27
종로구,2022,7.3
중구,2022,6.91
용산구,2022,6.82
성동구,2022,7.39
광진구,2022,6.93
동대문구,2022,7.24
중랑구,2022,6.7
성북구,2022,7.1
강북구,2022,7.72
도봉구,2022,6.79
노원구,2022,8.51
은평구,2022,6.97
서대문구,2022,7.37
마포구,2022,7.13
양천구,2022,6.83
강서구,2022,7.25
구로구,2022,7.1
금천구,2022,7.02
영등포구,2022,5.74
동작구,2022,7.33
관악구,2022,7.36
서초구,2022,7.62
강남구,2022,7.11
송파구,2022,7.58
강동구,2022,7.28
