소재지,년도,총합,문예회관,종합사회복지관,구민(다목적)체육시설,청소년수련시설
노원구,2013,15,2,8,2,3
은평구,2013,8,1,3,2,2
서대문구,2013,8,1,3,2,2
마포구,2013,8,1,2,2,3
양천구,2013,12,0,5,3,4
강서구,2013,15,0,10,2,3
구로구,2013,7,1,3,2,1
금천구,2013,5,1,2,1,1
영등포구,2013,11,1,2,2,6
동작구,2013,12,0,6,2,4
관악구,2013,10,1,5,2,2
서초구,2013,9,0,4,2,3
강남구,2013,13,0,6,3,4
송파구,2013,10,0,6,1,3
강동구,2013,5,1,2,1,1
종로구,2014,6,2,1,2,1
중구,2014,10,1,3,2,4
용산구,2014,6,1,2,1,2
성동구,2014,9,2,3,2,2
광진구,2014,7,1,3,2,1
동대문구,2014,5,0,2,2,1
중랑구,2014,9,0,4,3,2
성북구,2014,8,0,5,2,1
강북구,2014,10,1,5,2,2
도봉구,2014,10,0,3,1,6
노원구,2014,13,2,8,1,2
은평구,2014,8,1,3,2,2
서대문구,2014,7,1,3,1,2
마포구,2014,8,1,2,1,4
양천구,2014,11,0,5,3,3
강서구,2014,14,0,10,1,3
구로구,2014,7,1,3,2,1
금천구,2014,5,1,2,1,1
영등포구,2014,11,1,2,2,6
동작구,2014,12,0,6,2,4
관악구,2014,10,1,5,2,2
서초구,2014,9,0,4,2,3
강남구,2014,13,0,6,3,4
송파구,2014,10,0,6,1,3
강동구,2014,5,1,2,1,1
종로구,2015,5,2,1,2,0
중구,2015,10,1,3,2,4
용산구,2015,6,1,2,1,2
성동구,2015,9,2,3,2,2
광진구,2015,7,1,3,2,1
동대문구,2015,5,0,2,2,1
중랑구,2015,9,0,4,3,2
성북구,2015,8,0,5,2,1
강북구,2015,10,1,5,2,2
도봉구,2015,10,0,3,1,6
노원구,2015,13,2,8,1,2
은평구,2015,8,1,3,2,2
서대문구,2015,7,1,3,1,2
마포구,2015,9,1,2,2,4
양천구,2015,11,0,5,3,3
강서구,2015,15,0,10,2,3
구로구,2015,8,1,3,2,2
금천구,2015,5,1,2,1,1
영등포구,2015,11,1,2,2,6
동작구,2015,12,0,6,2,4
관악구,2015,10,1,5,2,2
서초구,2015,9,0,4,2,3
강남구,2015,13,0,6,3,4
송파구,2015,10,0,6,1,3
강동구,2015,5,1,2,1,1
종로구,2016,5,2,1,2,0
중구,2016,10,1,3,2,4
용산구,2016,6,1,2,1,2
성동구,2016,9,2,3,2,2
광진구,2016,7,1,3,2,1
동대문구,2016,5,0,2,2,1
중랑구,2016,9,0,4,3,2
성북구,2016,8,0,5,2,1
강북구,2016,10,1,5,2,2
도봉구,2016,9,0,3,1,5
노원구,2016,13,2,8,1,2
은평구,2016,8,1,3,2,2
서대문구,2016,7,1,3,1,2
마포구,2016,9,1,2,2,4
양천구,2016,11,0,5,3,3
강서구,2016,15,0,10,2,3
구로구,2016,8,1,3,2,2
금천구,2016,5,1,2,1,1
영등포구,2016,11,1,2,2,6
동작구,2016,12,0,6,2,4
관악구,2016,10,1,5,2,2
서초구,2016,9,0,4,2,3
강남구,2016,13,0,6,3,4
송파구,2016,10,0,6,1,3
강동구,2016,5,1,2,1,1
종로구,2017,5,2,1,2,0
중구,2017,10,1,3,2,4
용산구,2017,6,1,2,1,2
성동구,2017,9,2,3,2,2
광진구,2017,7,1,3,2,1
동대문구,2017,5,0,2,2,1
중랑구,2017,9,0,4,3,2
성북구,2017,8,0,5,2,1
강북구,2017,10,1,5,2,2
도봉구,2017,9,0,3,1,5
노원구,2017,15,2,9,2,2
은평구,2017,8,1,3,2,2
서대문구,2017,8,1,3,2,2
마포구,2017,9,1,2,2,4
양천구,2017,11,0,5,3,3
강서구,2017,15,0,10,2,3
구로구,2017,8,1,3,2,2
금천구,2017,5,1,2,1,1
영등포구,2017,10,1,2,2,5
동작구,2017,12,0,6,2,4
관악구,2017,10,1,5,2,2
서초구,2017,8,0,4,2,2
강남구,2017,13,0,6,3,4
송파구,2017,10,0,6,1,3
강동구,2017,5,1,2,1,1
종로구,2018,5,1,1,3,0
중구,2018,15,1,3,7,4
용산구,2018,7,1,2,1,3
성동구,2018,12,2,3,5,2
광진구,2018,7,1,3,2,1
동대문구,2018,6,0,2,3,1
중랑구,2018,11,0,4,5,2
성북구,2018,9,0,5,2,2
강북구,2018,9,1,4,2,2
도봉구,2018,10,0,3,2,5
노원구,2018,16,1,9,2,4
은평구,2018,10,1,3,2,4
서대문구,2018,9,1,3,3,2
마포구,2018,10,1,2,3,4
양천구,2018,12,1,5,4,2
강서구,2018,17,0,10,4,3
구로구,2018,10,1,3,4,2
금천구,2018,5,1,2,1,1
영등포구,2018,10,1,2,2,5
동작구,2018,12,0,6,2,4
관악구,2018,11,1,5,3,2
서초구,2018,13,1,4,6,2
강남구,2018,13,0,6,3,4
송파구,2018,12,0,6,2,4
강동구,2018,9,1,2,5,1
종로구,2019,5,1,1,3,0
중구,2019,15,1,3,7,4
용산구,2019,7,1,2,1,3
성동구,2019,12,2,3,5,2
광진구,2019,8,1,3,3,1
동대문구,2019,6,0,2,3,1
중랑구,2019,11,0,4,5,2
성북구,2019,9,0,5,2,2
강북구,2019,9,1,4,2,2
도봉구,2019,10,0,3,2,5
노원구,2019,16,1,9,2,4
은평구,2019,10,1,3,2,4
서대문구,2019,9,1,3,3,2
마포구,2019,10,1,2,3,4
양천구,2019,12,1,5,4,2
강서구,2019,17,0,10,4,3
구로구,2019,10,1,3,4,2
금천구,2019,7,1,2,3,1
영등포구,2019,10,1,2,2,5
동작구,2019,12,0,6,2,4
관악구,2019,11,1,5,3,2
서초구,2019,13,1,4,6,2
강남구,2019,13,0,6,3,4
송파구,2019,12,0,6,2,4
강동구,2019,9,1,2,5,1
종로구,2020,5,1,1,3,0
중구,2020,15,1,3,7,4
용산구,2020,7,1,2,1,3
성동구,2020,12,2,3,5,2
광진구,2020,8,1,3,3,1
동대문구,2020,6,0,2,3,1
중랑구,2020,11,0,4,5,2
성북구,2020,9,0,5,2,2
강북구,2020,9,1,4,2,2
도봉구,2020,10,0,3,2,5
노원구,2020,16,1,9,2,4
은평구,2020,10,1,3,2,4
서대문구,2020,10,1,3,4,2
마포구,2020,10,1,2,3,4
양천구,2020,12,1,5,4,2
강서구,2020,17,0,10,4,3
구로구,2020,10,1,3,4,2
금천구,2020,7,1,2,3,1
