소재지,년도,용도지역현황
용산구,2019,"1,260,795"
성동구,2019,"397,688"
광진구,2019,"203,281"
동대문구,2019,"745,441"
중랑구,2019,"255,092"
성북구,2019,"332,833"
강북구,2019,"270,342"
도봉구,2019,"239,431"
노원구,2019,"590,480"
은평구,2019,"419,019"
서대문구,2019,"274,391"
마포구,2019,"757,236"
양천구,2019,"733,026"
강서구,2019,"992,742"
구로구,2019,"513,589"
금천구,2019,"102,906"
영등포구,2019,"2,559,127"
동작구,2019,"267,548"
관악구,2019,"392,024"
서초구,2019,"1,322,182"
강남구,2019,"1,946,139"
송파구,2019,"1,180,453"
강동구,2019,"582,922"
종로구,2020,"2,937,285"
중구,2020,"3,590,304"
용산구,2020,"1,260,795"
성동구,2020,"397,688"
광진구,2020,"203,281"
동대문구,2020,"745,441"
중랑구,2020,"255,092"
성북구,2020,"332,833"
강북구,2020,"272,237"
도봉구,2020,"239,431"
노원구,2020,"590,480"
은평구,2020,"422,289"
서대문구,2020,"274,391"
마포구,2020,"757,236"
양천구,2020,"733,026"
강서구,2020,"992,742"
구로구,2020,"513,589"
금천구,2020,"102,906"
영등포구,2020,"2,559,127"
동작구,2020,"267,548"
관악구,2020,"392,024"
서초구,2020,"1,322,182"
강남구,2020,"1,946,139"
송파구,2020,"1,182,622"
강동구,2020,"582,922"
종로구,2021,"2,937,285"
중구,2021,"3,590,304"
용산구,2021,"1,260,795"
성동구,2021,"407,382"
광진구,2021,"206,616"
동대문구,2021,"745,441"
중랑구,2021,"260,602"
성북구,2021,"334,356"
강북구,2021,"272,237"
도봉구,2021,"239,431"
노원구,2021,"595,751"
은평구,2021,"430,859"
서대문구,2021,"274,391"
마포구,2021,"757,236"
양천구,2021,"733,026"
강서구,2021,"992,742"
구로구,2021,"513,589"
금천구,2021,"102,906"
영등포구,2021,"2,559,127"
동작구,2021,"268,974"
관악구,2021,"392,024"
서초구,2021,"1,322,182"
강남구,2021,"1,947,150"
송파구,2021,"1,182,622"
강동구,2021,"585,797"
종로구,2017,"2,937,285"
중구,2017,"3,590,304"
용산구,2017,"1,245,008"
성동구,2017,"397,688"
광진구,2017,"201,658"
동대문구,2017,"745,441"
중랑구,2017,"255,092"
성북구,2017,"332,833"
강북구,2017,"270,342"
도봉구,2017,"239,431"
노원구,2017,"589,023"
은평구,2017,"424,789"
서대문구,2017,"274,391"
마포구,2017,"757,236"
양천구,2017,"733,026"
강서구,2017,"992,742"
구로구,2017,"513,589"
금천구,2017,"102,906"
영등포구,2017,"2,559,127"
동작구,2017,"267,548"
관악구,2017,"390,187"
서초구,2017,"1,320,064"
강남구,2017,"1,677,285"
송파구,2017,"1,178,942"
강동구,2017,"575,847"
